name,lat,lon
Brampton Civic Hospital,43.747414876679315,-79.74347844499333
Peel Memorial Centre,43.69042362799345,-79.75104787383135
Credit Valley Hospital,43.55906474365877,-79.70330430267245
Mississauga Hospital,43.57188532701062,-79.60761628917865
